"month","year","state","permit","permit_recheck","handgun","long_gun","other","multiple","admin","prepawn_handgun","prepawn_long_gun","prepawn_other","redemption_handgun","redemption_long_gun","redemption_other","returned_handgun","returned_long_gun","returned_other","rentals_handgun","rentals_long_gun","private_sale_handgun","private_sale_long_gun","private_sale_other","return_to_seller_handgun","return_to_seller_long_gun","return_to_seller_other","totals","state_pop","state_race_white","tot_per_cap","perm_per_cap","hg_per_cap","lg_per_cap","others","others_per_cap","summer_months","UR","CI","ss_casualties","ss","licenses_per_cap","restr_laws","year.1","shootings_killed","shootings_injured","shootings_casualties","shootings_events","casualties_per_cap","events_per_cap","many_shooting_cas","many_shooting_events"
"12","2017","Alabama",24496,0,12895,15765,390,513,0,16,12,0,1195,1189,4,0,0,0,0,0,37,29,4,0,0,0,56545,4874747,0.7032,115.995763472443,50.2508130165524,26.4526548762428,32.3401399087994,3389,0.695215567084815,0,3.8,0.00158379560468891,0,0,114.924733529761,14,"2017",43,65,108,109,0.0221549959413278,0.0223601347926364,1,1
"12","2017","Alaska",249,3,3675,3524,287,174,0,4,6,0,172,123,0,36,30,0,0,0,16,27,4,0,0,0,8330,739795,0.6758,112.598760467427,3.36579728167938,49.6759237356295,47.6348177535669,882,1.19222216965511,0,7.2,9.26054545278276e-05,0,0,366.437999716138,10,"2017",10,9,19,31,0.0256827905027744,0.0419035002940004,1,1
"12","2017","Arizona",6243,415,17566,12840,1414,784,0,14,7,2,1362,721,7,107,5,0,0,0,41,25,3,1,1,1,41559,7016270,0.6378,59.2323271481856,8.89789018951665,25.0360946770863,18.3003219659449,4910,0.69980203156378,0,4.7,0.00271995146242254,0,0,56.8510048786606,14,"2017",29,24,53,52,0.00755387121647257,0.00741134534446365,0,0
"12","2017","Arkansas",3339,590,9189,13104,347,440,40,8,10,0,1049,1380,4,0,0,0,0,0,23,32,4,0,0,0,29559,3004279,0.7855,98.3896635432328,11.1141475209193,30.5863736357376,43.6177864971928,3927,1.30713558893831,0,3.7,0.00121966108545468,0,0,126.641700055155,11,"2017",15,27,42,59,0.0139800597747413,0.0196386553978509,0,0
"12","2017","California",53885,0,47613,35240,4885,0,0,0,0,0,497,364,8,0,0,0,0,0,0,0,0,0,0,0,142492,39536653,0.4656,36.0404812213113,13.6291253586893,12.0427492939273,8.91324816999557,5754,0.145535839869905,0,4.5,0.00334321411614802,0,0,22.9248287658543,27,"2017",133,117,250,347,0.00632324643160866,0.00877666604707283,0,0
"12","2017","Colorado",8736,0,26649,21168,1736,1285,0,0,0,0,0,0,0,183,42,1,0,0,0,0,0,0,0,0,59800,5607154,0.7443,106.649469588315,15.5800964268147,47.5267845327594,37.751772111128,3247,0.579081651761304,0,3,0.00258942918334437,0,0,78.8399961905808,18,"2017",19,28,47,59,0.00838214894757661,0.0105222720831281,0,0
"12","2017","Connecticut",5424,325,6646,2630,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15455,3588184,0.7745,43.0719271921395,15.1162816622559,18.5219041163998,7.32961297413956,755,0.210412843934425,0,4.5,0.00188997139129121,0,0,33.4104939991929,26,"2017",11,28,39,67,0.0108690078323743,0.0186723980710019,0,0
"12","2017","Delaware",360,0,2295,2473,126,106,0,0,2,0,24,13,8,22,0,0,0,0,78,35,1,1,0,0,5544,961939,0.7253,57.6335921508536,3.74244104875673,23.8580616858242,25.7084908710428,416,0.432459854523,0,4.5,0.00125654466794867,0,0,47.1932211917803,19,"2017",7,12,19,27,0.0197517722017716,0.0280683078656755,1,1
"12","2017","Florida",20978,0,68075,37127,4067,2495,0,14,7,0,2997,1194,11,308,37,2,0,0,27,16,0,0,0,0,137355,20984400,0.6542,65.455767141305,9.99695011532376,32.4407655210537,17.6926669335316,11175,0.532538457139589,0,3.9,0.00277696758403234,0,0,16.1488057795315,17,"2017",83,141,224,298,0.0106745963668249,0.0142010255237224,0,0
"12","2017","Georgia",18503,0,21017,20162,677,736,0,20,22,3,1918,1292,13,0,0,0,0,0,67,55,3,0,3,0,64491,10429379,0.6266,61.8358964613329,17.7412288881246,20.1517271546081,19.3319276248375,4809,0.46110127937627,0,4.5,0.00248915836611374,0,0,152.299863683159,17,"2017",51,57,108,127,0.0103553624813136,0.0121771392141373,0,0
"12","2017","Hawaii",1118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1119,1427538,0.228,7.83867049423553,7.83166542676973,0,0,1,0.000700506746580476,0,2.1,0.00157813895455128,0,0,7.07862067419571,19,"2017",0,2,2,9,0.00140101349316095,0.00630456071922429,0,0
"12","2017","Idaho",4975,1,5911,7393,360,262,0,2,2,0,333,446,0,23,16,2,0,0,11,11,1,0,1,0,19750,1716943,0.8798,115.030027205329,28.9759182453931,34.4274678891495,43.0590881584304,1471,0.856755291235644,0,3,0.00334372224295709,0,0,510.256892628352,12,"2017",3,2,5,20,0.0029121525874767,0.0116486103499068,0,0
"12","2017","Illinois",18020,101712,27956,15126,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163756,12802023,0.6783,127.91415856697,14.0759003479372,21.8371737029374,11.815320125577,102654,8.01857643905186,0,4.9,0.00134397332283509,0,0,110.90629973091,16,"2017",51,217,268,323,0.020934191416466,0.0252303874161138,1,1
"12","2017","Indiana",41805,0,26719,19906,1839,939,29,11,15,3,390,485,17,6,0,0,0,0,56,30,6,2,2,1,92261,6666818,0.8586,138.38835858426,62.7060765720618,40.0775902387016,29.8583222160857,3831,0.574636955741105,0,3.4,0.00125601858672653,0,0,56.0561275259052,16,"2017",33,42,75,102,0.0112497446307969,0.0152996526978838,0,0
"12","2017","Iowa",10375,3805,231,4678,48,7,1,0,0,0,0,57,0,23,3,1,0,0,2,5,0,0,0,0,19236,3145711,0.9271,61.1499276316229,32.9814150123772,0.734333192082807,14.8710418725687,3952,1.25631375545942,0,2.9,0.002262261609566,0,0,239.195208968656,14,"2017",2,24,26,37,0.0082652220753909,0.0117620467995947,0,0
"12","2017","Kansas",1581,2,9164,10222,597,459,0,5,6,3,647,385,8,15,4,1,0,0,14,16,2,2,0,0,23133,2913123,0.8312,79.4096232805824,5.42716527932394,31.4576487158283,35.0894898704929,2166,0.743531941493716,0,3.5,0.00170226604555523,0,0,122.08341357368,15,"2017",11,16,27,47,0.00926840370283026,0.016133887927149,0,0
"12","2017","Kentucky",380648,0,16727,16102,502,654,8,18,19,0,1636,1434,2,11,9,0,0,0,37,29,2,1,2,0,417841,4454189,0.8932,938.085474145798,854.584302552047,37.5534132027177,36.1502396957112,4364,0.979751869532254,0,4.5,0.00126246702792443,0,0,109.392080129514,13,"2017",17,35,52,74,0.0116744035782945,0.0166135743229576,0,0
"12","2017","Louisiana",1608,0,15819,20448,981,811,0,7,12,0,1054,912,3,0,0,0,0,0,33,43,2,1,1,0,41735,4684333,0.6253,89.09486153098,3.43271923665546,33.7700159232915,43.6518923825441,3860,0.824023398848886,0,4.7,0.000643352809285958,0,0,114.522601189967,12,"2017",40,78,118,128,0.0251903526072976,0.0273251282519838,1,1
"12","2017","Maine",443,0,3873,4336,289,189,1,0,1,0,105,85,4,9,8,0,0,0,14,6,0,0,1,0,9364,1335907,0.9653,70.0946997058927,3.31609909971278,28.9915390816876,32.4573492017034,712,0.532971232278894,0,3.1,0.00187273596238402,0,0,163.40957866079,10,"2017",4,4,8,19,0.0059884408121224,0.0142225469287907,0,0
